,Names:,Ps,Level,Increasing,Decrease,Middle
0,Spread,2.4782847266504336e-36,4.0,55.0,50.0,60.0
1,Cors,3.455094725198878e-79,0.47,0.96,-0.68,0.27
2,AVG,4.1418178627117386e-05,85.67,63.89,54.89,56.67
3,LifeOrientation.10,0.048489678283720396,11.5,11.5,9.0,11.5
4,CFC.Future.5,0.4042094583594089,35.0,39.0,37.0,35.0
5,CFC.Immediate.5,0.7234157984789542,25.0,23.0,24.5,25.0
6,b5_conscientious,0.6413199387402313,3.88,4.0,3.75,3.88
7,b5_negemotion,0.6059666116316522,2.12,2.0,2.25,2.12
8,b5_agreeable,0.034838796185710195,3.88,4.0,4.0,3.88
9,b5_extroversion,0.0907581402958926,2.75,2.5,2.25,2.75
10,SoPA.9,0.0007234894730853011,5.67,5.5,4.67,5.67
11,SoNA.9,0.17796685856865144,1.5,2.0,1.71,1.5
12,Age.1,0.5772153005836484,49.5,54.0,53.5,49.5
13,Education.1,0.05628135371704745,4.0,5.0,4.0,4.0
14,Wealth.6,0.8762908481681856,4.33,4.17,4.33,4.33
15,Sex.1,None,0.515625,0.5714285714285714,0.4235294117647059,0.515625
16,County LE,0.016350159163442096,77.8,79.31,77.92,77.8
17,Median Family Income,0.0070587429914451775,73179.0,77877.0,77010.0,73179.0
18,Top-to-bottom ratio,0.4617104183340365,20.3,22.0,19.75,20.3
