	ID	Optimism7days.6	Optimism6months.6	Optimism10years.6	Optimistic2.6	Optimistic4.6	Optimistic7.6
0	0	Covid infection rates; income	Covid infection rates; seeing friends and family; increased income	retirement	61.0	100.0	100.0
1	1	Life is always a mixed bag - all in all we are very blessed to live at this time in this geolocation	More will be known and or resolved	So many new technologies that will improve life	59.0	75.0	90.0
2	2	money; friends; food;	sad; bad health; land masses	weather; public;	83.0	89.0	96.0
3	3	My immediate health and financial situation	Current state of the country with regard to COVID-19	Current state of the planet with regard to climate change and environmental destruction	50.0	70.0	70.0
4	4	I am one step closer to getting the vaccine.	I hope to have had the vaccine.	Hoping that the virus is a thing of the past.	35.0	55.0	85.0
5	5	Nothing's really going to change in the next week.	Everyone who wants to be vaccinated should be; so the economy should be reopened.	I think there will be a lot of societal changes over the next ten years.	63.0	71.0	84.0
6	6	mumblings today by propaganda outlets indicate that falling numbers of covid cases are leveling off; so I worry that increasing restrictions in regards to simply living one's life are likely in the cards soon; supposed mutant variants of covid being transmitted. or	financial crisis and possibly collapse seems possible. No doubt we will almost certainly be at war in the middle east by then; barring some miracle. Radical leftist agenda being carried out by the puppet administration in the WH will be much farther along; again; barring some miracle.	unelected; unaccountable  power brokers using current events to overhaul every aspect of society and how people live could be nearly completed by this time; and will almost certainly not be enjoyable for any of the common serfs	45.0	35.0	35.0
7	7						
8	8	How my date goes tomorrow night.	How the vaccine is working.	How my career progresses.	87.0	95.0	95.0
9	9	weather	covid-19 vaccine; summer	technology	100.0	100.0	100.0
10	10	control of pandemic	control of pandemic	taking significant action to mitigate climate change	50.0	80.0	90.0
11	11	That things are not going to get better until more people get vaccinate.	That; hopefully; in six months; the vaccination rollout will ge moving right along and more and more people are getting vaccinated.	Too far in the future to know.  Or to even guess.	10.0	40.0	80.0
12	12						
13	13	Our society is still functioning fairly well. My income will increase due to COVID stimulus. There will be a general return to pre COVID normalcy.	We likely will have returned to pre COVID normalcy. We will begin to face the consequence of the crushing debt load that we have created to support COVID relief.	Our society has become to dysfunctional. Our governement will begin to function much llke that of the typical banana republic.	90.0	80.0	20.0
14	14	nothing	end of pandemic restrictions	the growth of wealth inequality	50.0	50.0	42.0
15	15						
16	16	More vaccine will be available	We will be able to visit family	Things will e back to normal	1.0	16.0	89.0
17	17	chemotherapy	surgery	multiple myeloma	41.0	67.0	35.0
18	18	paying my credit card bill; need to raise some money`	i ahould have my vaccine; more wiring jobs; so looking up	we'll both be retired and sailing on our boat in the caribbean; so things are looking way up`	0.0	60.0	94.0
19	19	how likely the positivity rate is to improve	How quickly the country can return to normal	global warming; climate change; scarcity of resources	4.0	50.0	91.0
20	20	The steady decline in new cases and the ramping up of vaccine distribution	The continued spreading of COVID varients and the large number of people foregoing vaccination	Natural aging and the return of inflation combined with possible Trump style leaders back in power	62.0	73.0	89.0
21	21	I'm in quarantine from a potential exposure; so in 7 days I can leave my house	We will be vaccinated	COVID should be behind us	59.0	92.0	100.0
22	22	Life will still be much the same as it is right now.	The covid situation should be much improved.	The continued decline of the US as a functional country.	40.0	70.0	20.0
23	23	whether I will have work completed	If I will still be in business	Will we survive this mess that we are in	50.0	39.0	20.0
24	24	We are still in the midst of the pandemic	Vaccinations will be in full swing	Hopefully the stock market will have made major gains	35.0	50.0	85.0
25	25						
26	26	How well my family will be doing	How well my family and the community will be doing; specifically the virus situation	The virus situaltion and how well my family will be doing.	88.0	54.0	50.0
27	27	no changes	will anything change? or will it get worse?	It's hard to say what might or might not happen 10 years from now.	1.0	9.0	40.0
28	28						
29	29						
30	30						
31	31	the weather	finances	finances; heath	61.0	64.0	100.0
32	32	Things are beginning to look up but we're not there yet.	I am hoping most will have been vaccinated and we can begin to get back to normal.	I hope we will have overcome current issues and are being proactive enough that the future looks brighter.	14.0	52.0	89.0
33	33	Life in general	Life in general	Life in general	51.0	53.0	55.0
34	34						
35	35						
36	36	How I will feel; how my family friends will be doing; how my neighbors will be doing; how many more bad  things for our country will Biden do	How I will feel; how my family friends will be doing; how my neighbors will be doing; how many more bad  things for our country will Biden do	If I will be alive or not; how the country will be doing or if we even still have a country; how my family and friends will be doing	62.0	62.0	24.0
37	37	all planets are direct (none are retrograde); which is very good.	going places more freely.	art and writing creativity	99.0	99.0	100.0
38	38	I am hopeful that I will get some things done around the house that I've been putting off.	I expect to have been vaccinated and able to go out.	I am hopeful that the country/world will continue to recover.	81.0	89.0	89.0
39	39	What I'll be doing; how likely it is that something bad will happen; what the weather will be like.	My financial situation; what could go wrong in society in that time.	My increasing age and possible health issues; finances; global warming.	50.0	51.0	33.0
40	40	More covid-19 shots actually being given.	Most of the country being vaccinated to prevent the spread of Covid-19.	I think about peace improving in the world and a virus free world.	50.0	80.0	90.0
41	41	I think things will basically remain the same.	I think things might get better pandemic wise; but I think my situation may remain pretty constant.	I'll be getting older; if I'm still alive; I also think the world is heading in a downward spiral and things will get worse overall; in many aspects	50.0	50.0	35.0
42	42	money	money health	money health age	51.0	52.0	50.0
43	43	pandemic	pandemic	alot of war	51.0	69.0	69.0
44	44	local covid recovery	national and local covid recovery	climate control	31.0	46.0	85.0
45	45	Being (un)able to obtain a vaccine; political climate; being unable to move to a better location.	Hopefully being settled in a new location by then; having taken my vaccine(s); political climate improving; economy improving; life slowly returning back to normal or what will become the new normal.	Hopefully no more COVID-19 or other pandemics; trying to be optimistic about my health and being alive in 10 years; being in a location I enjoy; hopefully having enough money to live comfortably.	40.0	70.0	70.0
46	46						
47	47	Not much will change in that time.	Conditions relating to the pandemic will improve in that time.	The cultural rot best seen in the rise of the authoritarian; intolerant; woke left will likely be significantly worse by then.	54.0	55.0	39.0
48	48						
49	49	I am thinking about how the COVID-19 pandemic will play out.	I am thinking that more people will be vaccinated so the COVID-19 infection rates should be dropping.	I am thinking about my personal financial situation and how I think it will improve.	20.0	45.0	65.0
50	50						
51	51	I'm going on a trip to see my family. I'm hoping my current flare-up of chronic illness will have calmed	I hope that we will have bought a house by then and be in the process of making ourselves at home.	Rampant inflation; society continuing to slide into immorality and insanity.	35.0	55.0	14.0
52	52	Getting close to my second Covid shot. Weather getting warmer!	Covid much more under control with much improved vaccine availability. Life much more normal and social.	My Social Security will have started; and my finances will be in much better shape.	41.0	69.0	68.0
53	53	My finances and what might happen to the economy.	How much things will get back to normal in society and it looks like the economy may crash.	I am hoping I can get my goals of setting up my own firm and making it profitable so I will not have to worry about money and not living life to the full.	10.0	35.0	75.0
54	54	I think about how the numbers in my state have been steadily going down as of late.	I think about how more and more people will have the vaccine in this time and hopefully more normalcy will be seen.	I think about how we will go through rough economic times but it will get better and hopefully be improved in a decade.	50.0	57.0	83.0
55	55	more vaccines; more help	getting Covid under control; visiting relkatives	retiring	86.0	91.0	90.0
56	56	that very few things will change	restoring some ordewr to life	older yet probably more deep issues	40.0	64.0	75.0
57	57	money and not being able to get the vaccine.	life and money and accessibility and how easy or hard life is in getting things.	Getting older and getting poorer and getting screwed over more by the banks; governments and those in power.	1.0	1.0	1.0
