,ID,Zip.1,LifeOrientation.10,CFC.Future.5,CFC.Immediate.5,b5_conscientious,b5_negemotion,b5_agreeable,b5_extroversion,SoPA.9,SoNA.9,Age.1,Education.1,Wealth.6,Dospert,ContactsMask.6,TimeRiskyFriend.3,Vaccine.6,WillingnessNeigh.6,WillingnessCountry.6,Fundamental1.2.6,Fundamental_af,ConcernCovid.6,Finished.10,PoliticalOrientation.1,Optimistic1.2,Optimistic2.2,Optimistic3.2,Optimistic4.2,Optimistic5.2,Optimistic1.6,Optimistic2.6,Optimistic3.6,Optimistic4.6,Optimistic5.6,Optimistic6.6,Optimistic7.6,Optimistic8.6,Sex.1,Optimistic9.6,PositiveRightNow2.9,PositiveWorld1.9,PositiveWorld2.9,PositiveWorld3.9,PositiveWorld4.9,PositiveWorld5.9,PositiveWorld6.9,PositiveWorld8.9,PositiveWorld9.9,PositiveRightNow1.9,PositiveLife1.9,PositiveLife2.9,PositiveLife3.9,PositiveLife4.9,PositiveLife5.9,PositiveLife6.9,LifeExpectancy.9,Age.1
0,0,16823.0,11,42.0,21.0,4.5,1.0,3.75,3.75,3.833333333,1.428571429,60.0,2.0,1.666666667,14.0,1.0,2.0,2.0,1.0,1.0,7.0,11.0,2.0,1.0,5.0,3.0,3.0,3.0,1.0,2.0,61.0,61.0,64.0,100.0,100.0,100.0,100.0,55.0,1.0,55.0,71.0,73.0,75.0,72.0,72.0,70.0,69.0,68.0,56.0,78.0,77.0,78.0,70.0,61.0,51.0,51.0,75.0,60.0
1,1,22303.0,,,,4.5,1.25,5.0,3.0,,,61.0,5.0,6.0,,5.0,,3.0,7.0,6.0,6.0,11.0,2.0,,3.0,,,,,,60.0,59.0,60.0,75.0,75.0,90.0,90.0,95.0,2.0,100.0,,,,,,,,,,,,,,,,,,61.0
2,2,38229.0,13.5,40.0,26.0,3.75,1.0,5.0,4.0,,,36.0,5.0,2.666666667,27.0,5.0,3.0,1.0,5.0,4.0,7.0,14.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,78.0,83.0,88.0,89.0,90.0,94.0,96.0,100.0,1.0,100.0,,,,,,,,,,,,,,,,,,36.0
3,3,94598.0,13.5,48.0,9.0,4.0,2.0,3.75,3.5,6.5,1.0,54.0,6.0,7.333333333,7.0,5.0,1.0,7.0,5.0,3.0,6.0,10.0,2.0,1.0,2.5,6.0,6.0,6.0,2.0,2.0,50.0,50.0,60.0,70.0,80.0,75.0,70.0,35.0,1.0,10.0,60.0,60.0,60.0,50.0,40.0,20.0,10.0,10.0,5.0,75.0,75.0,75.0,85.0,75.0,0.0,0.0,85.0,54.0
4,4,31525.0,12.5,37.0,23.0,4.25,4.0,4.75,2.0,6.5,1.0,61.0,3.0,2.666666667,11.0,5.0,1.0,6.0,4.0,2.0,7.0,9.0,7.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,25.0,35.0,40.0,55.0,70.0,80.0,85.0,90.0,2.0,100.0,30.0,60.0,65.0,70.0,75.0,30.0,25.0,20.0,0.0,90.0,80.0,85.0,90.0,51.0,51.0,51.0,80.0,61.0
5,5,75211.0,10.5,,,4.0,1.5,3.25,2.0,4.166666667,2.714285714,58.0,3.0,4.333333333,,5.0,,5.0,2.0,1.0,4.0,8.0,4.0,1.0,4.0,,,,,,62.0,63.0,63.0,71.0,74.0,74.0,84.0,84.0,1.0,83.0,44.0,46.0,62.0,44.0,46.0,57.0,64.0,68.0,71.0,57.0,70.0,68.0,55.0,44.0,6.0,4.0,80.0,58.0
6,6,2072.0,8,33.0,25.0,2.25,2.25,3.75,1.75,5.833333333,1.428571429,40.0,2.0,,14.0,2.0,4.0,1.0,4.0,2.0,2.0,8.0,2.0,1.0,4.5,2.0,3.0,5.0,5.0,3.0,45.0,45.0,35.0,35.0,30.0,35.0,35.0,50.0,1.0,50.0,25.0,35.0,30.0,19.0,15.0,20.0,15.0,15.0,60.0,30.0,40.0,45.0,30.0,25.0,5.0,0.0,75.0,40.0
7,7,13142.0,,,,,,,,,,64.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,64.0
8,8,92692.0,10.5,48.0,7.0,4.25,1.0,5.0,4.25,6.166666667,1.142857143,49.0,5.0,4.333333333,22.0,3.0,5.0,7.0,7.0,4.0,2.0,14.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,80.0,87.0,90.0,95.0,92.0,95.0,95.0,86.0,1.0,96.0,60.0,56.0,55.0,60.0,64.0,68.0,71.0,74.0,78.0,70.0,60.0,71.0,81.0,77.0,0.0,0.0,70.0,49.0
9,9,40380.0,9,30.0,35.0,2.75,1.0,4.5,2.75,5.166666667,1.428571429,68.0,5.0,1.0,17.0,5.0,2.0,7.0,7.0,7.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,2.0,51.0,60.0,60.0,60.0,60.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,50.0,0.0,0.0,82.0,68.0
10,10,21403.0,15,49.0,7.0,4.75,1.0,5.0,4.5,6.0,1.0,77.0,6.0,4.666666667,7.0,5.0,1.0,7.0,7.0,7.0,7.0,8.0,3.0,1.0,2.0,6.0,6.0,6.0,1.0,1.0,50.0,50.0,60.0,80.0,90.0,90.0,90.0,80.0,1.0,80.0,60.0,65.0,79.0,90.0,91.0,80.0,80.0,80.0,80.0,90.0,92.0,92.0,93.0,80.0,0.0,0.0,100.0,77.0
11,11,98533.0,5,48.0,7.0,1.5,1.25,5.0,3.25,6.666666667,1.571428571,66.0,2.0,2.666666667,6.0,5.0,1.0,7.0,4.0,4.0,7.0,11.0,3.0,1.0,1.0,7.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,40.0,70.0,90.0,80.0,20.0,2.0,0.0,50.0,40.0,50.0,50.0,50.0,40.0,35.0,25.0,10.0,70.0,50.0,49.0,50.0,0.0,0.0,0.0,75.0,66.0
12,12,78745.0,,,,,,,,,,52.0,5.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,52.0
13,13,47394.0,10.5,49.0,9.0,4.5,1.0,5.0,2.25,6.0,1.285714286,65.0,3.0,2.333333333,6.0,5.0,1.0,7.0,2.0,2.0,7.0,13.0,2.0,1.0,5.0,1.0,3.0,4.0,5.0,6.0,90.0,90.0,90.0,80.0,70.0,40.0,20.0,10.0,1.0,5.0,60.0,60.0,55.0,40.0,35.0,30.0,25.0,24.0,24.0,80.0,80.0,75.0,55.0,40.0,0.0,0.0,75.0,65.0
14,14,18974.0,6.5,44.0,13.0,4.0,2.5,3.5,1.0,4.5,2.428571429,29.0,5.0,5.0,8.0,3.0,2.0,6.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,,,,,,50.0,50.0,50.0,50.0,50.0,47.0,42.0,33.0,1.0,4.0,40.0,52.0,59.0,63.0,52.0,35.0,8.0,0.0,0.0,60.0,60.0,60.0,68.0,78.0,74.0,0.0,86.0,29.0
15,15,93711.0,,36.0,22.0,,,,,5.666666667,1.714285714,56.0,5.0,,21.0,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,1.0,,55.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,75.0,73.0,79.0,87.0,77.0,43.0,3.0,105.0,56.0
16,16,44130.0,7,31.0,30.0,2.75,2.5,3.25,2.0,4.666666667,2.857142857,64.0,3.0,4.333333333,14.0,2.0,3.0,7.0,4.0,3.0,6.0,9.0,6.0,1.0,5.0,6.0,6.0,6.0,4.0,2.0,1.0,1.0,95.0,16.0,55.0,84.0,89.0,66.0,2.0,46.0,64.0,51.0,54.0,59.0,59.0,56.0,51.0,43.0,6.0,72.0,55.0,63.0,65.0,58.0,0.0,0.0,90.0,64.0
17,17,48122.0,,49.0,15.0,4.5,1.25,4.75,4.75,5.0,1.428571429,59.0,5.0,4.666666667,6.0,5.0,1.0,7.0,2.0,2.0,7.0,8.0,7.0,,1.0,5.0,5.0,5.0,3.0,1.0,40.0,41.0,44.0,67.0,74.0,57.0,35.0,50.0,1.0,50.0,61.0,83.0,88.0,73.0,58.0,43.0,28.0,9.0,100.0,19.0,42.0,71.0,29.0,3.0,0.0,0.0,71.0,59.0
18,18,41011.0,15,47.0,13.0,2.25,1.0,5.0,2.75,,,59.0,7.0,6.666666667,21.0,4.0,2.0,6.0,5.0,2.0,2.0,14.0,2.0,1.0,2.5,7.0,7.0,,5.0,1.0,0.0,0.0,50.0,60.0,74.0,86.0,94.0,98.0,1.0,98.0,,,,,,,,,,,,,,,,,,59.0
19,19,23024.0,9.5,35.0,33.0,1.75,3.5,3.75,3.25,5.833333333,1.857142857,62.0,6.0,5.0,12.0,4.0,2.0,7.0,3.0,2.0,6.0,11.0,4.0,1.0,2.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,13.0,50.0,93.0,90.0,91.0,84.0,2.0,71.0,11.0,74.0,74.0,74.0,75.0,76.0,74.0,68.0,67.0,15.0,15.0,57.0,55.0,55.0,5.0,4.0,94.0,62.0
